Количество ушей,Наличие носа,Цвет глаз,Длина головы,Длина туловища,Длина ног,Является красивым?
2,0,Оранжевый,20,39,48,1
2,1,Салатовый,17,26,49,0
3,0,Жёлтый,19,38,45,1
5,1,Оранжевый,19,23,41,0
2,0,Бордовый,20,21,48,0
0,1,Жёлтый,15,36,50,1
5,1,Оранжевый,16,20,50,0
4,0,Белый,18,24,44,0
4,0,Салатовый,18,23,42,0
4,0,Оранжевый,15,29,47,0
4,1,Оранжевый,17,33,42,0
5,1,Бордовый,16,34,48,0
1,0,Бордовый,17,22,49,0
5,0,Оранжевый,20,22,47,0
2,0,Белый,17,25,44,0
0,1,Жёлтый,17,38,48,1
0,1,Салатовый,20,30,49,0
3,0,Белый,19,22,42,0
2,1,Бордовый,19,35,44,0
5,1,Салатовый,20,31,50,1
5,0,Оранжевый,20,27,45,0
4,1,Белый,16,34,41,0
3,0,Жёлтый,19,35,44,1
5,1,Белый,18,29,44,0
1,0,Оранжевый,18,34,47,0
2,0,Белый,16,23,41,0
2,0,Жёлтый,15,26,48,1
3,0,Жёлтый,17,30,49,1
0,0,Салатовый,17,24,48,1
1,0,Оранжевый,17,22,48,0
0,1,Оранжевый,18,33,50,1
5,1,Жёлтый,20,20,41,1
5,0,Салатовый,19,38,41,0
5,1,Оранжевый,20,23,49,0
4,1,Оранжевый,16,36,50,1
3,0,Белый,20,28,46,0
0,0,Салатовый,17,29,49,1
4,0,Бордовый,19,32,40,0
5,0,Белый,16,36,47,0
3,0,Бордовый,16,30,46,0
0,1,Белый,15,26,41,0
0,0,Оранжевый,20,30,47,1
4,0,Оранжевый,17,32,49,0
2,0,Бордовый,18,30,48,0
0,0,Белый,18,23,41,1
1,0,Салатовый,18,36,43,0
4,1,Салатовый,17,36,46,0
4,0,Бордовый,20,23,40,0
5,0,Бордовый,16,25,45,0
2,0,Оранжевый,16,31,50,0
3,0,Оранжевый,18,36,46,0
4,1,Салатовый,20,27,40,0
2,0,Салатовый,20,35,46,1
1,1,Бордовый,19,23,48,0
2,1,Салатовый,19,21,41,0
5,1,Белый,19,20,48,0
1,0,Салатовый,18,21,41,0
5,0,Жёлтый,17,39,40,1
2,1,Бордовый,15,31,47,0
3,0,Белый,16,23,41,0
3,0,Бордовый,17,29,44,0
5,1,Оранжевый,19,30,45,0
1,1,Белый,20,38,41,0
0,0,Салатовый,20,32,49,1
1,0,Оранжевый,19,40,42,1
1,1,Белый,19,23,44,0
5,0,Жёлтый,19,40,43,1
2,0,Бордовый,16,30,42,0
3,1,Белый,19,21,46,0
2,1,Белый,17,31,40,0
1,1,Жёлтый,16,33,41,1
3,0,Белый,19,35,43,0
3,1,Оранжевый,19,31,49,0
0,1,Салатовый,20,32,40,0
3,0,Оранжевый,17,28,44,0
2,0,Бордовый,19,25,50,0
2,1,Салатовый,20,29,42,0
0,0,Жёлтый,20,24,41,1
1,0,Белый,17,25,46,0
3,1,Белый,16,36,44,0
4,0,Салатовый,18,20,46,0
5,1,Белый,18,27,45,0
0,0,Жёлтый,19,24,49,1
2,1,Жёлтый,18,33,49,1
0,0,Бордовый,17,32,50,1
4,1,Белый,19,21,43,0
0,1,Оранжевый,19,22,50,0
0,1,Салатовый,17,31,48,0
0,1,Оранжевый,18,30,43,0
1,1,Жёлтый,19,27,50,1
4,1,Бордовый,15,27,42,0
2,0,Белый,15,33,41,0
3,1,Бордовый,19,40,45,1
0,1,Белый,19,39,46,1
3,0,Белый,16,38,49,1
5,0,Жёлтый,19,38,46,1
3,0,Жёлтый,16,35,50,1
5,0,Бордовый,19,26,45,0
4,1,Бордовый,16,36,47,0
2,0,Белый,17,37,42,0
2,0,Бордовый,15,33,50,0
2,0,Жёлтый,19,38,45,1
4,1,Бордовый,16,37,48,1
2,0,Салатовый,20,28,46,0
1,1,Бордовый,15,30,50,0
2,0,Оранжевый,16,37,45,0
1,0,Салатовый,16,21,42,0
1,0,Жёлтый,15,22,40,1
4,1,Салатовый,17,37,41,0
3,0,Салатовый,19,35,40,0
4,0,Белый,18,29,46,0
1,1,Бордовый,18,37,44,0
4,1,Жёлтый,19,36,47,1
4,0,Жёлтый,15,34,40,1
0,1,Жёлтый,18,40,40,1
5,1,Бордовый,18,40,49,1
0,0,Бордовый,20,23,41,1
4,0,Бордовый,20,28,43,0
4,0,Оранжевый,18,36,43,0
5,0,Бордовый,17,25,42,0
0,0,Белый,20,22,41,1
5,0,Бордовый,16,37,42,0
1,0,Оранжевый,20,39,46,1
5,1,Жёлтый,15,22,43,1
3,1,Белый,15,35,40,0
2,0,Оранжевый,15,20,41,0
4,0,Жёлтый,17,35,48,1
2,1,Бордовый,17,21,40,0
2,0,Жёлтый,17,22,47,1
1,1,Белый,15,37,42,0
4,0,Жёлтый,16,30,48,1
0,1,Оранжевый,18,35,45,0
2,1,Жёлтый,16,22,40,1
1,0,Жёлтый,19,22,48,1
1,1,Жёлтый,20,23,50,1
3,1,Салатовый,20,28,45,0
3,0,Жёлтый,16,24,47,1
1,1,Салатовый,17,21,40,0
1,0,Белый,20,39,42,1
2,0,Белый,17,38,41,0
5,0,Бордовый,16,27,44,0
1,1,Бордовый,20,40,46,1
4,1,Жёлтый,18,24,49,1
0,0,Салатовый,19,28,48,1
5,1,Салатовый,20,40,40,0
1,0,Салатовый,15,20,46,0
0,0,Салатовый,15,32,42,1
0,1,Белый,16,34,45,0
3,0,Бордовый,19,26,43,0
4,0,Бордовый,15,36,41,0
2,0,Белый,19,40,45,1
5,0,Оранжевый,17,38,42,0
5,0,Белый,18,30,47,0
3,1,Жёлтый,18,38,48,1
4,0,Жёлтый,16,30,47,1
2,1,Бордовый,16,30,47,0
1,1,Жёлтый,16,34,46,1
0,1,Белый,17,25,46,0
3,0,Белый,20,31,50,1
0,0,Салатовый,17,23,47,1
2,0,Бордовый,17,36,49,1
1,1,Жёлтый,19,36,44,1
4,0,Бордовый,17,34,49,0
1,1,Бордовый,19,38,41,0
4,0,Оранжевый,17,23,49,0
1,0,Белый,18,33,43,0
5,0,Белый,19,20,48,0
4,1,Жёлтый,16,23,48,1
4,1,Бордовый,18,27,43,0
3,1,Белый,19,31,41,0
0,1,Белый,19,36,46,1
1,1,Оранжевый,19,37,44,0
5,0,Белый,19,38,46,1
5,1,Бордовый,18,39,46,1
0,0,Оранжевый,19,40,42,1
1,0,Салатовый,15,28,49,0
2,0,Белый,16,38,46,0
0,1,Бордовый,15,20,45,0
4,1,Белый,16,26,40,0
2,0,Салатовый,19,28,48,0
0,1,Бордовый,20,27,41,0
4,0,Жёлтый,15,23,50,1
0,0,Бордовый,17,39,44,1
5,1,Белый,17,26,45,0
4,0,Белый,16,39,47,1
2,1,Оранжевый,20,35,41,0
2,1,Жёлтый,15,24,48,1
4,1,Оранжевый,17,38,45,0
5,0,Жёлтый,17,38,44,1
5,1,Белый,19,34,42,0
0,0,Белый,19,28,49,1
4,1,Белый,19,36,45,0
2,1,Салатовый,20,21,42,0
3,1,Жёлтый,19,33,50,1
4,1,Салатовый,18,24,43,0
5,0,Оранжевый,16,26,42,0
4,1,Бордовый,15,40,44,0
2,0,Белый,16,35,44,0
2,1,Оранжевый,17,36,43,0
4,1,Белый,16,21,49,0
1,1,Бордовый,15,30,43,0
5,0,Оранжевый,16,38,44,0
4,1,Жёлтый,17,22,41,1
1,1,Оранжевый,17,26,44,0
1,1,Белый,15,34,44,0
3,1,Салатовый,20,27,41,0
2,1,Белый,20,39,48,1
1,1,Белый,20,23,41,0
3,1,Бордовый,16,33,40,0
0,0,Белый,20,24,42,1
5,0,Белый,15,30,44,0
5,1,Белый,15,36,48,0
1,0,Бордовый,20,32,48,0
2,0,Жёлтый,20,35,43,1
4,0,Бордовый,15,29,40,0
3,1,Белый,16,27,41,0
3,0,Салатовый,16,39,42,0
2,0,Белый,16,26,41,0
1,1,Белый,16,34,45,0
4,0,Бордовый,18,27,47,0
3,1,Жёлтый,16,36,47,1
4,0,Белый,20,32,47,0
5,1,Белый,20,35,40,0
0,1,Салатовый,17,20,49,0
1,1,Салатовый,17,30,47,0
3,0,Жёлтый,16,24,45,1
1,0,Оранжевый,16,30,41,0
4,1,Салатовый,17,36,50,1
3,0,Жёлтый,20,39,45,1
4,1,Оранжевый,16,20,43,0
2,0,Белый,16,39,41,0
2,1,Жёлтый,16,25,49,1
4,0,Жёлтый,20,30,48,1
2,0,Белый,17,28,47,0
4,0,Жёлтый,18,26,50,1
4,1,Бордовый,18,34,44,0
5,0,Жёлтый,19,33,50,1
5,1,Бордовый,15,35,46,0
0,0,Белый,18,22,46,1
2,1,Салатовый,19,26,46,0
5,1,Салатовый,16,33,49,0
5,1,Жёлтый,15,37,44,1
5,0,Белый,20,31,49,0
3,0,Оранжевый,15,28,50,0
4,1,Белый,18,27,45,0
2,0,Салатовый,18,27,49,0
5,1,Оранжевый,18,20,49,0
0,1,Жёлтый,18,30,46,1
0,1,Бордовый,18,20,49,0
3,1,Жёлтый,20,36,43,1
4,1,Оранжевый,15,39,49,1
5,1,Оранжевый,20,36,41,0
0,1,Бордовый,16,32,50,0
3,0,Бордовый,19,24,43,0
3,1,Оранжевый,17,33,44,0
4,1,Белый,17,37,40,0
3,0,Белый,20,37,42,0
4,0,Жёлтый,19,22,47,1
2,1,Бордовый,19,39,47,1
3,0,Бордовый,20,40,43,1
0,0,Белый,17,27,50,1
3,0,Оранжевый,18,27,42,0
0,0,Салатовый,16,26,48,1
5,0,Белый,18,28,46,0
2,0,Оранжевый,18,25,48,0
5,1,Жёлтый,20,24,42,1
0,0,Жёлтый,17,37,44,1
3,1,Салатовый,20,34,40,0
1,0,Бордовый,20,23,43,0
4,0,Жёлтый,15,37,49,1
4,1,Жёлтый,19,37,42,1
4,1,Белый,19,26,42,0
5,1,Белый,19,32,48,0
5,1,Белый,17,24,44,0
0,0,Бордовый,19,28,50,1
0,1,Белый,19,24,50,0
3,0,Белый,20,24,43,0
2,1,Жёлтый,15,29,44,1
3,0,Салатовый,18,23,42,0
4,1,Жёлтый,18,31,47,1
3,1,Оранжевый,18,26,46,0
5,0,Белый,20,25,44,0
2,1,Бордовый,18,34,43,0
1,0,Бордовый,16,29,44,0
3,0,Белый,19,24,45,0
4,1,Белый,17,31,47,0
2,1,Оранжевый,19,38,40,0
4,1,Оранжевый,19,23,43,0
5,1,Белый,16,27,50,0
2,0,Белый,16,36,46,0
1,1,Салатовый,18,36,45,0
5,0,Бордовый,20,34,42,0
3,0,Жёлтый,16,22,44,1
5,1,Оранжевый,18,28,42,0
2,0,Бордовый,20,26,43,0
4,1,Белый,16,27,42,0
2,0,Оранжевый,15,30,43,0
3,1,Оранжевый,15,34,40,0
5,1,Оранжевый,15,33,43,0
1,1,Салатовый,15,30,50,0
0,0,Бордовый,19,36,46,1
1,1,Жёлтый,16,30,45,1
5,1,Бордовый,17,34,43,0
0,0,Белый,18,26,44,1
1,0,Жёлтый,16,38,45,1
0,0,Белый,20,38,41,1
4,1,Оранжевый,16,34,47,0
5,0,Салатовый,18,29,44,0
3,1,Бордовый,19,27,42,0
4,0,Салатовый,17,34,48,0
3,1,Жёлтый,18,29,40,1
1,1,Салатовый,20,27,49,0
5,1,Бордовый,19,30,44,0
1,1,Бордовый,20,32,49,1
0,1,Бордовый,15,37,44,0
1,1,Жёлтый,17,36,40,1
2,1,Бордовый,19,35,41,0
1,0,Бордовый,18,20,42,0
4,1,Бордовый,19,23,42,0
1,1,Оранжевый,17,26,49,0
1,0,Оранжевый,16,20,41,0
2,1,Оранжевый,20,39,45,1
5,0,Оранжевый,15,35,45,0
2,1,Жёлтый,20,40,46,1
0,0,Оранжевый,18,35,44,1
0,0,Салатовый,17,29,40,1
2,0,Салатовый,18,23,46,0
4,0,Жёлтый,18,40,50,1
2,0,Белый,20,32,41,0
4,0,Салатовый,17,25,47,0
3,0,Бордовый,18,22,47,0
4,1,Оранжевый,18,27,47,0
5,1,Бордовый,20,22,40,0
5,0,Оранжевый,19,27,50,0
4,0,Бордовый,19,38,49,1
1,1,Бордовый,17,36,47,0
4,1,Оранжевый,16,33,40,0
1,1,Салатовый,15,20,41,0
0,0,Оранжевый,20,37,45,1
1,0,Оранжевый,15,27,41,0
5,1,Жёлтый,17,32,50,1
4,0,Жёлтый,16,33,50,1
0,0,Белый,17,20,50,1
1,1,Оранжевый,20,32,43,0
1,0,Жёлтый,16,24,40,1
4,1,Жёлтый,19,20,41,1
5,0,Бордовый,15,23,41,0
3,0,Оранжевый,16,22,40,0
4,0,Жёлтый,17,29,44,1
0,0,Оранжевый,15,23,42,1
0,0,Жёлтый,18,31,43,1
0,0,Бордовый,19,37,40,1
2,0,Оранжевый,15,36,50,1
5,1,Бордовый,18,28,41,0
4,1,Оранжевый,19,38,50,1
0,0,Оранжевый,16,33,42,1
5,1,Бордовый,15,30,40,0
4,1,Оранжевый,17,24,44,0
4,0,Белый,20,22,50,0
0,1,Жёлтый,19,34,50,1
4,0,Оранжевый,15,37,47,0
2,0,Жёлтый,17,25,45,1
1,1,Белый,18,30,49,0
2,0,Оранжевый,16,20,48,0
4,0,Жёлтый,20,26,50,1
0,1,Жёлтый,17,31,42,1
1,0,Салатовый,17,28,46,0
4,0,Бордовый,20,25,47,0
2,1,Белый,15,22,41,0
1,1,Оранжевый,18,26,50,0
1,1,Жёлтый,15,28,50,1
5,1,Салатовый,19,34,43,0
0,1,Салатовый,17,35,40,0
0,0,Оранжевый,19,35,48,1
4,1,Бордовый,20,31,42,0
4,0,Белый,18,28,41,0
1,0,Салатовый,16,21,42,0
4,1,Оранжевый,19,40,43,1
5,0,Жёлтый,18,21,46,1
1,1,Оранжевый,16,27,44,0
3,1,Оранжевый,18,24,40,0
3,1,Салатовый,19,27,40,0
2,1,Жёлтый,17,27,49,1
5,0,Жёлтый,17,25,47,1
3,0,Салатовый,16,34,48,0
3,1,Оранжевый,20,40,41,1
4,1,Оранжевый,20,40,41,1
3,1,Белый,18,40,45,1
0,0,Жёлтый,18,35,44,1
0,1,Бордовый,16,26,47,0
0,1,Салатовый,15,30,45,0
2,0,Салатовый,17,26,45,0
5,0,Салатовый,17,38,44,0
0,1,Бордовый,17,28,42,0
3,0,Салатовый,16,40,44,0
5,0,Бордовый,19,20,50,0
3,1,Жёлтый,16,38,47,1
4,1,Оранжевый,17,30,49,0
0,1,Жёлтый,19,28,48,1
2,1,Оранжевый,15,23,43,0
4,0,Бордовый,16,36,49,1
3,1,Салатовый,18,34,43,0
3,1,Оранжевый,16,25,46,0
4,1,Салатовый,15,36,48,0
5,0,Салатовый,18,35,46,0
0,0,Оранжевый,16,32,45,1
3,0,Белый,16,29,45,0
0,1,Салатовый,18,24,41,0
2,0,Салатовый,19,24,50,0
1,1,Оранжевый,16,35,46,0
4,1,Белый,18,29,42,0
2,1,Оранжевый,18,34,47,0
4,1,Оранжевый,17,30,46,0
2,1,Бордовый,16,33,49,0
5,1,Жёлтый,15,33,44,1
5,1,Жёлтый,17,35,40,1
5,1,Жёлтый,16,23,48,1
1,0,Белый,16,36,46,0
0,0,Салатовый,20,36,47,1
1,0,Бордовый,19,32,40,0
1,1,Салатовый,20,21,42,0
3,1,Белый,20,23,41,0
5,0,Салатовый,16,26,48,0
5,0,Салатовый,16,34,50,0
0,0,Салатовый,15,35,42,1
2,0,Белый,19,33,44,0
2,0,Белый,15,20,49,0
5,0,Салатовый,19,35,44,0
3,1,Салатовый,16,28,45,0
1,0,Белый,17,27,43,0
1,1,Бордовый,18,22,43,0
2,1,Жёлтый,16,26,44,1
0,1,Жёлтый,20,32,48,1
5,1,Салатовый,16,38,46,0
1,0,Салатовый,17,35,46,0
3,1,Оранжевый,15,39,47,1
3,1,Бордовый,19,20,48,0
2,0,Жёлтый,19,21,49,1
4,1,Салатовый,16,27,44,0
5,1,Жёлтый,17,27,49,1
5,0,Салатовый,16,22,45,0
5,0,Жёлтый,20,24,47,1
1,0,Оранжевый,15,21,46,0
2,1,Салатовый,15,29,50,0
2,0,Салатовый,20,38,48,1
0,1,Белый,20,25,45,0
3,0,Жёлтый,15,26,46,1
5,0,Салатовый,17,36,46,0
1,0,Белый,17,26,42,0
3,0,Оранжевый,19,27,46,0
4,1,Белый,18,21,45,0
4,0,Салатовый,15,21,48,0
2,1,Бордовый,20,33,50,1
1,1,Бордовый,17,34,45,0
3,0,Жёлтый,17,20,50,1
1,0,Бордовый,20,32,43,0
0,1,Оранжевый,19,21,48,0
5,0,Оранжевый,19,39,47,1
3,1,Белый,17,30,43,0
2,0,Бордовый,19,34,47,0
2,1,Салатовый,20,28,45,0
1,1,Оранжевый,20,24,42,0
5,0,Салатовый,15,27,45,0
3,1,Оранжевый,17,39,40,0
0,1,Бордовый,16,24,40,0
3,0,Жёлтый,20,26,41,1
5,0,Белый,16,40,50,1
0,1,Бордовый,16,27,50,0
3,1,Бордовый,17,29,40,0
0,1,Белый,16,37,49,1
2,1,Бордовый,18,21,47,0
1,1,Салатовый,15,36,46,0
5,1,Белый,15,22,43,0
4,0,Белый,17,30,41,0
3,1,Салатовый,16,36,43,0
4,1,Оранжевый,15,32,42,0
1,0,Белый,18,39,50,1
2,0,Жёлтый,20,30,50,1
2,1,Оранжевый,19,25,40,0
3,0,Оранжевый,20,20,41,0
2,1,Оранжевый,20,39,41,0
1,0,Бордовый,20,24,43,0
0,1,Бордовый,16,23,43,0
0,0,Оранжевый,16,31,47,1
1,1,Салатовый,16,26,47,0
4,1,Жёлтый,19,40,44,1
0,1,Салатовый,16,21,47,0
3,1,Жёлтый,16,25,48,1
0,1,Салатовый,17,27,46,0
4,1,Бордовый,16,38,47,1
4,1,Салатовый,19,20,46,0
2,1,Жёлтый,18,38,49,1
5,0,Оранжевый,16,33,49,0
5,1,Белый,17,27,41,0
5,0,Жёлтый,18,32,43,1
5,0,Бордовый,18,39,42,0
4,1,Жёлтый,16,25,40,1
5,1,Бордовый,16,34,42,0
2,1,Жёлтый,20,21,49,1
3,1,Бордовый,16,34,50,0
5,0,Жёлтый,17,37,49,1
5,0,Оранжевый,15,21,41,0
4,0,Оранжевый,20,40,47,1
4,1,Салатовый,20,39,50,1
2,1,Салатовый,17,30,50,0
4,1,Бордовый,15,36,42,0
1,0,Оранжевый,16,32,42,0
2,0,Жёлтый,17,34,48,1
3,1,Белый,16,34,49,0
0,0,Салатовый,17,28,47,1
4,0,Белый,18,38,45,1
0,0,Белый,17,39,49,1
4,1,Салатовый,15,38,46,0
0,0,Оранжевый,17,30,40,1
2,1,Оранжевый,17,35,43,0
0,1,Оранжевый,16,35,43,0
4,0,Салатовый,17,37,41,0
2,0,Бордовый,18,22,49,0
5,0,Салатовый,17,20,40,0
0,0,Белый,16,22,43,1
2,0,Оранжевый,15,25,47,0
4,1,Жёлтый,20,28,49,1
3,1,Бордовый,16,39,50,1
5,1,Бордовый,17,33,50,0
1,0,Салатовый,19,29,45,0
5,0,Бордовый,15,23,48,0
5,1,Салатовый,16,23,41,0
0,0,Белый,20,23,40,1
2,0,Бордовый,17,28,46,0
5,0,Оранжевый,15,37,49,1
5,0,Белый,20,25,47,0
0,0,Салатовый,15,39,43,1
1,0,Салатовый,19,20,50,0
2,1,Салатовый,15,27,46,0
4,1,Белый,19,21,44,0
2,1,Оранжевый,15,26,48,0
4,1,Оранжевый,20,36,41,0
1,0,Бордовый,19,21,40,0
5,1,Салатовый,15,23,42,0
5,1,Салатовый,19,27,47,0
4,1,Бордовый,16,36,44,0
3,0,Жёлтый,16,30,50,1
0,1,Салатовый,16,38,44,0
5,0,Бордовый,20,28,50,0
1,0,Оранжевый,20,27,45,0
2,0,Жёлтый,16,37,43,1
3,0,Оранжевый,18,28,45,0
4,1,Бордовый,18,26,49,0
0,0,Жёлтый,19,23,47,1
3,0,Салатовый,20,33,50,1
1,1,Салатовый,19,35,46,0
2,0,Салатовый,19,32,49,0
0,0,Жёлтый,16,33,46,1
2,0,Белый,19,32,49,0
0,0,Бордовый,16,36,45,1
5,1,Салатовый,18,30,49,0
1,1,Салатовый,20,37,43,0
3,1,Жёлтый,19,39,46,1
3,0,Бордовый,16,33,48,0
1,0,Оранжевый,17,35,44,0
4,1,Жёлтый,18,36,48,1
1,1,Жёлтый,20,26,50,1
2,1,Бордовый,19,26,48,0
5,1,Салатовый,20,21,41,0
3,0,Оранжевый,16,22,41,0
3,0,Оранжевый,19,22,45,0
1,0,Оранжевый,20,26,40,0
4,1,Салатовый,15,23,49,0
2,1,Белый,16,36,46,0
5,1,Белый,20,33,40,0
4,0,Оранжевый,20,36,43,0
5,1,Жёлтый,20,24,44,1
1,1,Салатовый,18,33,41,0
0,0,Белый,19,29,49,1
4,0,Жёлтый,17,35,43,1
2,1,Салатовый,17,34,42,0
5,0,Бордовый,17,39,44,0
5,0,Салатовый,20,38,42,0
2,0,Белый,17,36,40,0
1,1,Белый,16,38,43,0
3,0,Жёлтый,18,31,43,1
2,0,Оранжевый,16,34,47,0
1,0,Жёлтый,16,31,44,1
3,0,Белый,20,37,50,1
1,0,Оранжевый,19,40,45,1
1,1,Бордовый,20,26,50,0
1,1,Бордовый,19,29,44,0
4,1,Салатовый,16,31,40,0
0,0,Оранжевый,17,33,40,1
5,0,Бордовый,15,27,43,0
3,1,Белый,15,35,42,0
0,1,Белый,19,37,44,0
3,1,Оранжевый,19,21,42,0
3,0,Белый,20,23,49,0
0,0,Салатовый,16,29,46,1
3,0,Бордовый,17,35,41,0
5,1,Жёлтый,20,32,41,1
5,0,Бордовый,19,31,44,0
3,0,Салатовый,19,37,43,0
5,0,Салатовый,15,27,40,0
0,0,Оранжевый,20,22,42,1
2,0,Белый,18,22,47,0
2,0,Белый,15,31,43,0
4,0,Оранжевый,18,29,50,0
3,0,Белый,17,35,45,0
0,0,Белый,16,35,41,1
3,1,Белый,20,20,47,0
3,0,Белый,18,20,42,0
4,1,Жёлтый,15,37,40,1
1,1,Оранжевый,18,26,45,0
5,0,Салатовый,18,33,41,0
3,1,Белый,16,33,42,0
3,1,Жёлтый,19,38,43,1
4,0,Салатовый,16,25,43,0
5,0,Белый,18,33,49,0
2,1,Белый,17,27,42,0
4,1,Бордовый,15,28,41,0
0,0,Оранжевый,15,20,44,1
0,1,Белый,18,26,49,0
5,0,Жёлтый,15,30,49,1
