Дата,Месяц,Год,Наименование товара,Модель,Вид операции,Город,Магазин,Цвет,Финансовый баланс  (тугрики)
10,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Розовый,1000
11,Декабрь,2016,Наногазонокосилка,Agressor 300,Продажа,Барабинск,Электромаг,Розовый,1050
12,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Владивосток,Океан электроники,Черный,1000
17,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
22,Декабрь,2016,Портативная атомная станция,1,Продажа,Москва,ЦУМ,Розовый,500
23,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
23,Декабрь,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
26,Декабрь,2016,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
29,Декабрь,2016,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Черный,500
1,Июль,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
1,Июль,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
3,Июль,2016,Наногазонокосилка,Agressor 300,Продажа,Барабинск,Электромаг,Розовый,1050
4,Июль,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
11,Июль,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
25,Июль,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
27,Июль,2016,Электрический звонок,IZvon 9,Продажа,Сан-Франциско,Океан электроники,Белый,1000
1,Июнь,2016,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
1,Июнь,2016,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
2,Июнь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
6,Июнь,2016,Портативная атомная станция,1,Продажа,Москва,ЦУМ,Розовый,500
7,Июнь,2016,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
11,Июнь,2016,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Черный,-500
29,Июнь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
8,Май,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
13,Май,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Белый,999
1,Март,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Белый,1000
1,Март,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,999
1,Март,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
1,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
1,Март,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
1,Март,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
7,Март,2016,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
8,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
10,Март,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,999
11,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
15,Март,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
17,Март,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Белый,200
18,Март,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,999
19,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
19,Март,2016,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
21,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
21,Март,2016,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
24,Март,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Белый,1000
24,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
24,Март,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
24,Март,2016,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
26,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
27,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
27,Март,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
2,Ноябрь,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
3,Ноябрь,2016,Портативная атомная станция,100500,Возврат,Москва,ЦУМ,Черный,-500
16,Ноябрь,2016,Утюг,Lastochka,Возврат,Владивосток,Океан электроники,Черный,-200
18,Ноябрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
22,Ноябрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
23,Ноябрь,2016,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Черный,-1050
25,Ноябрь,2016,Электрический звонок,IZvon 9,Продажа,Москва,ЦУМ,Черный,1000
27,Ноябрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
27,Ноябрь,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
1,Октябрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
1,Октябрь,2016,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
16,Октябрь,2016,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
19,Октябрь,2016,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
29,Октябрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Розовый,1000
1,Сентябрь,2016,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
3,Сентябрь,2016,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
10,Сентябрь,2016,Электрический звонок,IZvon 9,Возврат,Переяславль,Лебедушка,Розовый,-1000
13,Сентябрь,2016,Портативная атомная станция,1,Возврат,Владивосток,Океан электроники,Розовый,-500
13,Сентябрь,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
15,Сентябрь,2016,Портативная атомная станция,1,Продажа,Москва,ЦУМ,Черный,500
2,Февраль,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
6,Февраль,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
15,Февраль,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
15,Февраль,2016,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
19,Февраль,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Белый,1000
22,Февраль,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
26,Февраль,2016,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
4,Январь,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
15,Январь,2016,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
18,Январь,2016,Портативная атомная станция,100500,Возврат,Сан-Франциско,Океан электроники,Белый,-500
18,Январь,2016,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
26,Январь,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
1,Август,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
1,Август,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Август,2017,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Черный,500
1,Август,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Черный,-1050
1,Август,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
1,Август,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
1,Август,2017,Наногазонокосилка,Agressor 300,Возврат,Москва,ЦУМ,Черный,-1050
2,Август,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Белый,1000
2,Август,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
3,Август,2017,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Черный,500
5,Август,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
7,Август,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
7,Август,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Белый,-200
10,Август,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Белый,200
11,Август,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
13,Август,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Белый,500
14,Август,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Белый,1200
16,Август,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
16,Август,2017,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Белый,1000
18,Август,2017,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
19,Август,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
21,Август,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
22,Август,2017,Электрический звонок,IZvon 9,Продажа,Москва,ЦУМ,Розовый,1000
22,Август,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
22,Август,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
23,Август,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
24,Август,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
25,Август,2017,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Розовый,500
25,Август,2017,Портативная атомная станция,1,Возврат,Сан-Франциско,Океан электроники,Черный,-500
28,Август,2017,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
29,Август,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
1,Апрель,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
10,Апрель,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
14,Апрель,2017,Утюг,Lastochka,Возврат,Москва,ЦУМ,Белый,-200
15,Апрель,2017,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
22,Апрель,2017,Электрический звонок,IZvon 9,Продажа,Москва,ЦУМ,Розовый,1000
22,Апрель,2017,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
1,Декабрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Декабрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Декабрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
1,Декабрь,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
1,Декабрь,2017,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Черный,500
2,Декабрь,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
3,Декабрь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
3,Декабрь,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
4,Декабрь,2017,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
7,Декабрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
9,Декабрь,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
9,Декабрь,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Белый,200
13,Декабрь,2017,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Черный,500
14,Декабрь,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
15,Декабрь,2017,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Черный,500
16,Декабрь,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
18,Декабрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
18,Декабрь,2017,Портативная атомная станция,1,Возврат,Владивосток,Океан электроники,Белый,-500
18,Декабрь,2017,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
18,Декабрь,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
19,Декабрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
19,Декабрь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
19,Декабрь,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
19,Декабрь,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
19,Декабрь,2017,Печатная машинка,Super pro,Продажа,Москва,ЦУМ,Белый,500
20,Декабрь,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
20,Декабрь,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
20,Декабрь,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
20,Декабрь,2017,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
23,Декабрь,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
23,Декабрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Белый,500
23,Декабрь,2017,Портативная атомная станция,1,Продажа,Москва,ЦУМ,Розовый,500
24,Декабрь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
25,Декабрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
26,Декабрь,2017,Наногазонокосилка,Agressor 300,Возврат,Москва,ЦУМ,Розовый,-1050
27,Декабрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
27,Декабрь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
27,Декабрь,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
27,Декабрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
1,Июль,2017,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Розовый,1000
2,Июль,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
2,Июль,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
2,Июль,2017,Печатная машинка,Super pro,Продажа,Москва,ЦУМ,Розовый,500
3,Июль,2017,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Черный,500
5,Июль,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
6,Июль,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
8,Июль,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
8,Июль,2017,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Розовый,500
11,Июль,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
13,Июль,2017,Наногазонокосилка,Agressor 300,Возврат,Сан-Франциско,Океан электроники,Розовый,-1050
17,Июль,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
19,Июль,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
20,Июль,2017,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
20,Июль,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
25,Июль,2017,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
1,Июнь,2017,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Черный,500
3,Июнь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
5,Июнь,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Белый,200
5,Июнь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Белый,500
7,Июнь,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
11,Июнь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
12,Июнь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
20,Июнь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
20,Июнь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
22,Июнь,2017,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Белый,-1050
27,Июнь,2017,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
28,Июнь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Май,2017,Электрический звонок,IZvon 9,Продажа,Владивосток,Океан электроники,Розовый,1000
9,Май,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
10,Май,2017,Портативная атомная станция,100500,Возврат,Владивосток,Океан электроники,Черный,-500
11,Май,2017,Электрический звонок,IZvon 9,Продажа,Сан-Франциско,Океан электроники,Розовый,1000
12,Май,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
14,Май,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
17,Май,2017,Наногазонокосилка,Agressor 300,Продажа,Владивосток,Океан электроники,Розовый,1050
18,Май,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
18,Май,2017,Наногазонокосилка,Agressor 300,Продажа,Барабинск,Электромаг,Розовый,1050
25,Май,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
26,Май,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
28,Май,2017,Печатная машинка,Super pro,Продажа,Сан-Франциско,Океан электроники,Розовый,500
28,Май,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
1,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Март,2017,Утюг,Lastochka,Возврат,Москва,ЦУМ,Розовый,-200
2,Март,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
2,Март,2017,Утюг,Lastochka,Возврат,Москва,ЦУМ,Розовый,-200
3,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
3,Март,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
4,Март,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
5,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
5,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
5,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
5,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
6,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
6,Март,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
7,Март,2017,Электрический звонок,IZvon 9,Возврат,Переяславль,Лебедушка,Розовый,-1000
7,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
8,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
10,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
11,Март,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Белый,1000
11,Март,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
13,Март,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
13,Март,2017,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
14,Март,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
14,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
15,Март,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Белый,200
16,Март,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Черный,1000
16,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
17,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
17,Март,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
18,Март,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
18,Март,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Белый,1000
18,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
20,Март,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
21,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
22,Март,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Черный,-200
23,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
24,Март,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
24,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
25,Март,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
26,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
26,Март,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
28,Март,2017,Электрический звонок,IZvon 10,Возврат,Переяславль,Лебедушка,Черный,-1200
29,Март,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
29,Март,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
29,Март,2017,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
29,Март,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
29,Март,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
29,Март,2017,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
8,Ноябрь,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Черный,-1050
9,Ноябрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
11,Ноябрь,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
20,Ноябрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
28,Ноябрь,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
1,Октябрь,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Белый,500
7,Октябрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
8,Октябрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
17,Октябрь,2017,Печатная машинка,Super pro,Продажа,Владивосток,Океан электроники,Черный,500
