x,y,Label
-54,88,0
-58,24,0
93,-39,1
16,-67,0
-3,43,1
-16,-28,0
-96,7,0
-11,64,1
-76,93,0
85,67,1
-95,-78,0
-20,73,1
-39,-67,0
58,-92,1
-79,-4,0
51,9,1
-55,3,0
44,-75,1
87,29,1
-38,-1,0
85,-10,1
-100,-29,0
81,-61,1
-42,96,1
-43,-43,0
32,-7,1
61,85,1
-18,45,1
98,-5,1
99,26,1
26,-6,1
-6,76,1
-34,-88,0
55,-85,1
-79,13,0
91,-93,1
55,11,1
-33,49,0
-15,59,1
98,73,1
42,-39,1
-96,-3,0
-96,43,0
-84,-72,0
-19,-45,0
88,92,1
-77,-70,0
100,55,1
24,27,1
-49,-45,0
-63,38,0
50,18,1
-6,-14,0
-5,-66,0
45,-4,1
-80,-21,0
68,11,1
-61,25,0
-18,59,1
-20,34,0
90,64,1
39,61,1
9,-7,1
-63,-34,0
19,82,1
87,60,1
93,31,1
95,-44,1
-34,2,0
-4,-12,0
98,-61,1
11,-79,0
-27,64,1
10,73,1
-36,44,0
12,76,1
61,37,1
-88,93,0
81,-60,1
-27,-12,0
40,-73,1
-19,-79,0
-34,-62,0
57,-51,1
37,81,1
-76,45,0
-72,-35,0
-16,-72,0
-95,-68,0
-96,-72,0
17,-61,0
20,-18,1
25,-38,1
-60,42,0
5,46,1
71,-67,1
-76,-48,0
77,15,1
56,-27,1
-95,71,0
55,30,1
-91,82,0
58,-84,1
-57,-95,0
-66,-97,0
-35,-40,0
16,17,1
-3,-36,0
-26,100,1
-54,-54,0
38,52,1
-48,1,0
22,-89,0
-44,-74,0
42,97,1
50,-40,1
-10,-17,0
-41,-90,0
3,4,1
-93,-11,0
20,32,1
27,3,1
-32,-71,0
-61,-77,0
-21,-66,0
45,84,1
22,-24,1
42,-26,1
-75,24,0
14,-100,0
23,-15,1
55,3,1
34,42,1
17,-69,0
10,44,1
-70,0,0
76,-4,1
-75,16,0
44,-50,1
65,-25,1
-57,3,0
-87,-32,0
-76,-42,0
-92,29,0
-6,-48,0
82,-36,1
76,-69,1
-74,-91,0
-56,-27,0
36,-66,1
-41,-100,0
0,-43,0
-22,31,0
-82,-85,0
-86,85,0
-78,43,0
-73,-87,0
79,-23,1
-62,-12,0
0,90,1
-29,25,0
82,69,1
99,-57,1
17,38,1
29,70,1
-98,-68,0
19,43,1
55,22,1
-93,-30,0
-6,98,1
79,87,1
-20,27,0
-57,28,0
12,42,1
-83,-19,0
14,-94,0
44,-61,1
-17,76,1
-52,-12,0
100,50,1
15,67,1
-90,65,0
-55,-50,0
51,-73,1
-75,-6,0
-88,97,0
85,77,1
-96,3,0
78,66,1
-67,-59,0
-80,-81,0
-62,31,0
13,-66,0
-66,-57,0
33,-80,0
91,43,1
9,-26,0
76,-74,1
29,-29,1
83,81,1
52,82,1
79,-59,1
-86,8,0
-62,-73,0
-43,-3,0
20,58,1
42,-50,1
-31,82,1
17,-23,1
49,-56,1
39,-22,1
20,-95,0
-77,58,0
64,-72,1
-100,-46,0
39,-7,1
-53,-71,0
-89,-50,0
88,-39,1
11,77,1
-3,70,1
60,81,1
35,-17,1
8,-23,0
-79,-26,0
32,31,1
-3,64,1
57,56,1
33,-42,1
-87,-64,0
-74,-8,0
39,32,1
-88,-45,0
-63,60,0
-41,31,0
-88,-16,0
5,-52,0
-94,49,0
-59,6,0
-92,75,0
70,-44,1
-79,16,0
-64,14,0
57,63,1
2,-96,0
-1,62,1
-48,-93,0
-99,-47,0
47,-26,1
71,-83,1
71,-11,1
-22,-16,0
-62,-46,0
59,-42,1
53,30,1
27,-87,0
-86,-30,0
-71,-87,0
-46,0,0
93,96,1
28,65,1
96,-68,1
-56,95,0
1,-76,0
62,-51,1
87,-5,1
95,95,1
-41,0,0
-60,65,0
-83,39,0
32,-79,0
93,-4,1
-19,76,1
-76,41,0
72,-14,1
42,86,1
-78,-17,0
-63,-23,0
-34,-85,0
69,40,1
71,34,1
-4,-22,0
77,35,1
-49,-2,0
72,18,1
52,-41,1
7,100,1
-78,52,0
-19,74,1
-49,67,0
-99,-3,0
73,-33,1
10,-30,0
5,-96,0
78,-86,1
-55,47,0
16,-85,0
-59,81,0
-56,-25,0
-20,-22,0
-38,41,0
22,-10,1
-76,-39,0
-86,-17,0
57,-5,1
44,21,1
53,78,1
-49,-7,0
-35,-53,0
-3,-97,0
38,-97,0
45,-96,0
-73,44,0
-9,-57,0
-24,-88,0
-17,-27,0
-1,32,1
78,62,1
80,80,1
-57,-20,0
65,100,1
-55,-23,0
13,-76,0
64,79,1
98,54,1
-94,-22,0
-44,71,0
-71,73,0
-38,-79,0
76,30,1
-38,54,0
29,5,1
62,-10,1
77,-76,1
74,-68,1
47,-26,1
34,-51,1
84,-94,1
-80,63,0
84,30,1
74,50,1
99,-40,1
58,-8,1
-93,-18,0
-45,-10,0
-92,-87,0
-97,48,0
61,-6,1
-64,91,0
-86,38,0
-77,-89,0
-90,39,0
94,58,1
-100,-61,0
80,-52,1
-98,82,0
-38,-33,0
2,58,1
52,14,1
-97,43,0
58,85,1
-55,42,0
2,-62,0
27,16,1
61,53,1
-42,-7,0
-15,66,1
-73,-85,0
89,-22,1
-42,1,0
4,-45,0
1,-90,0
100,14,1
-49,40,0
62,-41,1
72,-11,1
-40,31,0
-22,-65,0
-88,-15,0
71,-49,1
-98,100,0
82,-45,1
16,47,1
-81,-23,0
29,-81,0
65,19,1
46,-53,1
15,-14,1
36,-11,1
-50,-61,0
-38,-78,0
-10,-45,0
-91,70,0
35,61,1
-80,-63,0
55,-79,1
-44,-21,0
-46,5,0
56,-97,1
-14,87,1
13,57,1
66,22,1
19,49,1
-44,-58,0
-1,-80,0
0,-39,0
76,95,1
38,14,1
-93,-38,0
-21,94,1
48,76,1
14,2,1
-68,-2,0
84,25,1
97,18,1
68,-23,1
52,-83,1
-75,99,0
-17,-86,0
-87,41,0
86,83,1
-41,6,0
14,-96,0
22,-68,0
69,40,1
-1,79,1
-64,30,0
-55,18,0
53,-29,1
26,46,1
-93,-91,0
23,26,1
-32,84,1
-36,86,1
-94,9,0
-100,34,0
95,-17,1
30,72,1
59,-45,1
85,44,1
46,51,1
72,63,1
-16,-20,0
98,90,1
27,-78,0
50,23,1
25,-23,1
55,-26,1
-65,-25,0
-74,84,0
79,-27,1
61,82,1
-27,-44,0
-41,64,0
38,-70,1
-18,-48,0
-97,13,0
-96,98,0
-78,41,0
-24,86,1
-78,-30,0
-9,82,1
16,63,1
-58,79,0
54,-21,1
-59,-30,0
-15,-60,0
-70,53,0
-86,-83,0
84,-32,1
-41,-56,0
-14,-97,0
-2,67,1
92,-26,1
-52,-33,0
-95,-9,0
70,-35,1
33,-60,1
-88,-40,0
65,82,1
62,30,1
-9,65,1
24,47,1
-85,-17,0
58,55,1
-84,10,0
-11,89,1
77,41,1
72,67,1
-69,-76,0
79,-24,1
-14,60,1
66,34,1
76,44,1
75,33,1
19,53,1
18,-49,0
-12,-34,0
-21,65,1
91,-48,1
76,76,1
-51,32,0
22,-76,0
22,-89,0
85,24,1
-77,90,0
73,-73,1
-91,-95,0
-10,-5,0
1,93,1
66,-71,1
89,91,1
-20,-33,0
-96,-52,0
66,51,1
94,99,1
98,42,1
75,-33,1
-48,36,0
16,94,1
18,-27,1
95,-55,1
37,71,1
-49,-51,0
-76,-14,0
-68,-29,0
-14,77,1
-96,24,0
-76,-58,0
-13,-37,0
-55,3,0
-84,57,0
50,-30,1
30,-46,1
-98,68,0
72,69,1
96,-82,1
90,46,1
29,75,1
60,70,1
-49,-59,0
-3,-74,0
64,-24,1
39,-84,0
-89,83,0
-95,50,0
58,78,1
-63,17,0
60,-67,1
-52,95,0
20,-73,0
-46,-67,0
-46,29,0
45,3,1
-12,-11,0
-88,22,0
99,31,1
62,50,1
34,-78,0
3,-69,0
3,-68,0
50,-40,1
26,31,1
-15,-34,0
-57,22,0
5,-34,0
-48,90,0
69,-7,1
-34,-93,0
3,40,1
-40,-61,0
24,-8,1
80,74,1
53,-7,1
80,12,1
-48,29,0
-19,50,1
-8,-82,0
-91,-96,0
-27,-93,0
-83,-98,0
-25,81,1
-56,-35,0
45,32,1
29,-25,1
68,-97,1
-78,83,0
-83,-19,0
-44,-82,0
-80,-71,0
-91,44,0
89,-2,1
-39,-81,0
-62,-26,0
-70,30,0
-92,-69,0
64,86,1
42,32,1
19,-8,1
48,89,1
87,-65,1
74,-100,1
57,-97,1
-44,100,1
67,-20,1
48,36,1
90,24,1
54,32,1
9,-9,1
22,76,1
48,-56,1
65,-92,1
92,-7,1
-57,-16,0
-59,-33,0
76,-66,1
-54,58,0
66,-1,1
17,5,1
97,-93,1
-67,-99,0
37,50,1
-88,-31,0
-30,33,0
22,-16,1
50,4,1
-94,95,0
-63,-59,0
24,-86,0
45,-26,1
39,-64,1
-3,-76,0
-58,25,0
0,-59,0
-72,-4,0
36,-28,1
58,-77,1
-41,65,0
55,48,1
71,88,1
89,-17,1
-63,78,0
-76,26,0
-52,-17,0
-26,10,0
-99,-65,0
-38,-68,0
83,8,1
-95,57,0
54,74,1
0,-73,0
-27,41,0
-60,99,0
10,-61,0
-47,11,0
-51,64,0
58,-61,1
-73,-50,0
-50,63,0
-60,-28,0
6,50,1
44,-69,1
-14,-57,0
-40,-69,0
-21,25,0
-27,74,1
37,21,1
5,-78,0
-47,27,0
53,-44,1
47,74,1
-26,-25,0
70,-57,1
-33,-45,0
30,60,1
-49,86,0
-96,14,0
-40,62,0
-48,-81,0
39,98,1
17,-44,0
53,71,1
1,-60,0
3,36,1
10,-74,0
-26,98,1
-32,-37,0
-64,99,0
74,-96,1
52,80,1
-92,70,0
-56,71,0
-23,-93,0
23,-52,0
-90,-71,0
-39,-91,0
-95,77,0
-17,-87,0
44,93,1
-18,-75,0
13,1,1
-9,-84,0
-44,-26,0
-91,-68,0
-19,73,1
-88,74,0
-61,86,0
-89,-74,0
81,42,1
-2,95,1
-9,64,1
53,-92,1
-9,-54,0
-5,-3,0
28,60,1
-98,44,0
21,-50,0
36,-80,0
61,41,1
80,84,1
29,87,1
-37,-70,0
-47,0,0
