Идентификационный номер,Пол,Цвет волос,Форма губ,Цвет глаз,Ширина лица,Высота лица,Длина носа
54,М,Блондин,Четкая,Карие,18,24,5
55,М,Блондин,Гладкая,Карие,20,17,4
56,М,Блондин,Четкая,Карие,18,21,6
57,М,Брюнет,Четкая,Голубые,11,22,6
58,М,Брюнет,Четкая,Карие,13,24,5
59,Ж,Блондин,Четкая,Голубые,17,25,5
60,Ж,Брюнет,Четкая,Голубые,20,21,4
61,М,Блондин,Четкая,Карие,20,18,7
62,Ж,Брюнет,Четкая,Голубые,13,15,7
63,М,Брюнет,Четкая,Карие,16,24,5
64,М,Брюнет,Четкая,Карие,17,15,6
65,Ж,Брюнет,Четкая,Голубые,14,23,5
66,Ж,Брюнет,Гладкая,Карие,20,15,7
67,Ж,Блондин,Четкая,Голубые,13,17,6
68,М,Брюнет,Гладкая,Карие,18,17,5
69,М,Брюнет,Четкая,Карие,20,22,6
70,Ж,Брюнет,Гладкая,Карие,16,18,5
71,М,Брюнет,Четкая,Карие,13,19,6
72,М,Блондин,Гладкая,Голубые,12,17,5
73,М,Брюнет,Гладкая,Карие,20,23,4
74,Ж,Брюнет,Четкая,Карие,12,15,5
75,М,Блондин,Четкая,Карие,18,23,7
76,М,Брюнет,Четкая,Карие,11,25,5
77,Ж,Блондин,Четкая,Карие,16,18,7
78,Ж,Блондин,Гладкая,Голубые,16,23,5
79,М,Брюнет,Четкая,Карие,20,24,6
80,Ж,Брюнет,Четкая,Голубые,11,19,4
81,М,Брюнет,Четкая,Карие,14,24,7
82,Ж,Блондин,Четкая,Карие,20,20,5
83,М,Брюнет,Четкая,Карие,10,22,7
84,Ж,Брюнет,Четкая,Карие,10,24,6
85,М,Блондин,Гладкая,Карие,13,17,5
86,Ж,Блондин,Четкая,Голубые,16,23,5
87,М,Блондин,Гладкая,Карие,18,18,4
88,М,Блондин,Четкая,Голубые,10,25,6
89,Ж,Блондин,Четкая,Карие,14,15,5
90,М,Блондин,Четкая,Карие,10,16,4
91,М,Брюнет,Четкая,Карие,19,15,7
92,М,Брюнет,Четкая,Голубые,14,20,6
93,М,Брюнет,Гладкая,Карие,10,23,5
94,Ж,Брюнет,Четкая,Голубые,13,21,6
95,М,Брюнет,Четкая,Голубые,20,21,6
96,Ж,Брюнет,Четкая,Голубые,13,23,7
97,М,Блондин,Четкая,Карие,18,16,5
98,М,Брюнет,Четкая,Голубые,17,20,4
99,М,Брюнет,Гладкая,Карие,15,25,6
100,М,Блондин,Четкая,Карие,13,21,5
101,М,Брюнет,Четкая,Карие,14,20,5
102,М,Блондин,Четкая,Карие,12,19,4
103,Ж,Брюнет,Четкая,Карие,18,24,6
104,М,Брюнет,Четкая,Карие,16,22,5
105,Ж,Блондин,Гладкая,Карие,19,22,4
106,М,Блондин,Гладкая,Голубые,18,18,6
107,Ж,Блондин,Гладкая,Карие,14,24,6
108,Ж,Брюнет,Гладкая,Голубые,14,17,5
109,М,Блондин,Гладкая,Карие,17,16,5
110,М,Брюнет,Четкая,Голубые,18,23,7
111,М,Брюнет,Гладкая,Карие,16,16,7
112,М,Брюнет,Четкая,Голубые,18,17,4
113,Ж,Брюнет,Четкая,Карие,19,16,5
114,М,Брюнет,Четкая,Карие,11,18,5
115,Ж,Блондин,Гладкая,Карие,20,21,4
116,М,Блондин,Четкая,Карие,16,23,5
117,Ж,Брюнет,Четкая,Карие,17,15,6
118,М,Брюнет,Гладкая,Карие,17,15,4
119,Ж,Брюнет,Гладкая,Карие,19,21,5
120,М,Брюнет,Четкая,Голубые,19,15,6
121,М,Брюнет,Четкая,Карие,12,22,4
122,М,Блондин,Гладкая,Карие,17,20,5
123,М,Брюнет,Гладкая,Карие,14,24,7
124,Ж,Брюнет,Гладкая,Карие,12,15,4
125,М,Брюнет,Четкая,Карие,13,22,6
126,М,Блондин,Гладкая,Карие,14,23,6
127,Ж,Брюнет,Четкая,Голубые,16,22,5
128,Ж,Брюнет,Четкая,Карие,16,16,5
129,Ж,Брюнет,Гладкая,Голубые,15,20,7
130,М,Брюнет,Гладкая,Карие,18,22,7
131,Ж,Брюнет,Гладкая,Голубые,15,15,7
132,М,Брюнет,Четкая,Карие,17,16,6
133,М,Брюнет,Четкая,Карие,18,16,5
134,Ж,Брюнет,Гладкая,Карие,10,23,5
135,М,Брюнет,Четкая,Карие,14,23,4
136,М,Блондин,Четкая,Голубые,12,16,5
137,Ж,Брюнет,Четкая,Карие,10,22,6
138,Ж,Брюнет,Гладкая,Карие,18,19,4
139,М,Брюнет,Четкая,Карие,14,15,4
140,Ж,Брюнет,Четкая,Карие,18,23,5
141,М,Блондин,Четкая,Карие,18,23,7
142,М,Брюнет,Гладкая,Карие,11,25,5
143,Ж,Брюнет,Четкая,Карие,18,22,6
144,Ж,Брюнет,Гладкая,Карие,14,25,5
145,М,Блондин,Четкая,Карие,10,17,4
146,М,Брюнет,Четкая,Карие,18,24,5
147,Ж,Брюнет,Четкая,Голубые,14,20,6
148,Ж,Брюнет,Четкая,Карие,13,23,5
149,М,Блондин,Гладкая,Голубые,18,19,5
150,Ж,Блондин,Четкая,Карие,12,19,4
151,Ж,Блондин,Гладкая,Карие,18,17,6
152,М,Брюнет,Четкая,Карие,19,15,4
153,Ж,Брюнет,Четкая,Карие,11,16,7
154,М,Блондин,Четкая,Карие,13,23,6
155,Ж,Блондин,Четкая,Карие,18,24,5
156,Ж,Брюнет,Четкая,Карие,13,15,7
157,М,Блондин,Четкая,Карие,15,20,4
158,М,Брюнет,Четкая,Карие,11,22,5
159,М,Брюнет,Гладкая,Карие,17,20,4
160,М,Брюнет,Четкая,Карие,11,18,5
161,Ж,Блондин,Гладкая,Карие,11,19,7
162,М,Блондин,Четкая,Карие,17,15,6
163,М,Брюнет,Гладкая,Карие,13,18,5
164,Ж,Брюнет,Четкая,Карие,16,19,7
165,Ж,Брюнет,Четкая,Карие,19,25,5
166,М,Блондин,Четкая,Карие,10,18,7
167,Ж,Брюнет,Гладкая,Голубые,20,17,5
168,Ж,Брюнет,Четкая,Карие,12,15,5
169,М,Блондин,Четкая,Карие,13,24,6
170,М,Брюнет,Гладкая,Карие,16,20,7
171,Ж,Блондин,Четкая,Голубые,10,24,6
172,М,Брюнет,Гладкая,Карие,13,18,6
173,Ж,Брюнет,Четкая,Карие,11,24,6
174,М,Блондин,Четкая,Карие,11,17,5
175,М,Брюнет,Гладкая,Карие,19,16,7
176,М,Брюнет,Гладкая,Голубые,10,20,6
177,Ж,Блондин,Четкая,Карие,14,18,6
178,М,Брюнет,Четкая,Карие,10,17,7
179,М,Блондин,Четкая,Карие,20,25,6
180,Ж,Блондин,Четкая,Голубые,10,23,6
181,Ж,Брюнет,Гладкая,Карие,16,25,5
182,Ж,Блондин,Гладкая,Карие,11,18,7
183,М,Брюнет,Четкая,Карие,18,17,7
184,М,Брюнет,Четкая,Карие,13,20,4
185,М,Блондин,Четкая,Карие,20,25,6
186,Ж,Брюнет,Четкая,Голубые,17,15,4
187,Ж,Блондин,Четкая,Карие,19,16,5
188,М,Брюнет,Гладкая,Карие,15,18,6
189,М,Брюнет,Гладкая,Карие,12,20,4
190,Ж,Брюнет,Четкая,Карие,14,16,7
191,Ж,Брюнет,Четкая,Карие,19,25,5
192,Ж,Брюнет,Четкая,Карие,15,25,7
193,Ж,Брюнет,Четкая,Карие,14,16,4
194,Ж,Блондин,Четкая,Карие,18,25,7
195,Ж,Брюнет,Четкая,Карие,14,19,6
196,М,Брюнет,Четкая,Карие,14,23,7
197,М,Брюнет,Четкая,Карие,16,16,6
198,М,Блондин,Гладкая,Карие,19,22,7
199,Ж,Брюнет,Четкая,Голубые,13,16,7
200,Ж,Брюнет,Гладкая,Голубые,14,24,5
201,Ж,Блондин,Четкая,Голубые,17,23,5
202,Ж,Брюнет,Четкая,Карие,19,18,4
203,М,Брюнет,Гладкая,Карие,17,19,7
204,М,Блондин,Четкая,Голубые,13,18,7
205,М,Блондин,Гладкая,Карие,14,22,6
206,Ж,Блондин,Четкая,Карие,16,25,7
207,Ж,Брюнет,Четкая,Карие,13,15,7
208,Ж,Брюнет,Гладкая,Карие,10,22,6
209,Ж,Брюнет,Четкая,Карие,19,17,5
210,Ж,Брюнет,Четкая,Голубые,15,24,4
211,Ж,Блондин,Четкая,Карие,19,21,7
212,Ж,Блондин,Гладкая,Голубые,10,15,5
213,М,Блондин,Гладкая,Карие,16,23,7
214,Ж,Брюнет,Гладкая,Карие,16,25,5
215,Ж,Брюнет,Четкая,Карие,14,15,7
216,М,Блондин,Гладкая,Карие,13,22,5
217,Ж,Блондин,Четкая,Карие,20,18,4
218,Ж,Брюнет,Четкая,Карие,11,17,5
219,М,Брюнет,Гладкая,Карие,20,17,5
220,М,Брюнет,Четкая,Карие,19,21,6
221,Ж,Блондин,Четкая,Карие,19,17,5
222,Ж,Блондин,Четкая,Голубые,17,23,5
223,Ж,Брюнет,Четкая,Карие,19,15,5
224,М,Брюнет,Четкая,Карие,15,15,4
225,М,Брюнет,Гладкая,Карие,20,20,5
226,М,Блондин,Гладкая,Карие,17,17,7
227,М,Брюнет,Гладкая,Карие,19,18,5
228,М,Брюнет,Четкая,Голубые,10,15,6
229,Ж,Брюнет,Гладкая,Карие,16,25,5
230,М,Брюнет,Четкая,Голубые,20,21,6
231,М,Блондин,Четкая,Карие,15,25,7
232,Ж,Блондин,Четкая,Карие,20,23,7
233,Ж,Блондин,Четкая,Карие,12,24,6
234,Ж,Брюнет,Гладкая,Голубые,17,20,5
235,М,Брюнет,Гладкая,Голубые,20,24,6
236,М,Блондин,Четкая,Карие,16,20,6
237,М,Брюнет,Четкая,Голубые,17,24,6
238,М,Блондин,Четкая,Карие,11,22,5
239,М,Брюнет,Четкая,Карие,16,20,6
240,М,Брюнет,Четкая,Голубые,15,21,6
241,Ж,Брюнет,Четкая,Голубые,14,15,5
242,М,Брюнет,Четкая,Карие,17,19,5
243,Ж,Брюнет,Четкая,Карие,18,21,5
244,М,Брюнет,Четкая,Карие,15,22,6
245,Ж,Брюнет,Четкая,Карие,11,15,7
246,М,Брюнет,Четкая,Голубые,19,20,7
247,М,Брюнет,Четкая,Карие,14,18,6
248,Ж,Блондин,Гладкая,Карие,17,18,4
249,Ж,Брюнет,Четкая,Карие,15,18,4
250,Ж,Брюнет,Четкая,Карие,13,22,4
251,Ж,Брюнет,Четкая,Карие,10,17,5
252,М,Брюнет,Четкая,Голубые,17,22,4
253,Ж,Брюнет,Четкая,Голубые,11,24,6
254,М,Блондин,Четкая,Карие,14,21,4
255,Ж,Брюнет,Четкая,Карие,15,24,7
256,Ж,Блондин,Четкая,Карие,13,22,7
257,Ж,Брюнет,Четкая,Карие,12,22,5
258,Ж,Брюнет,Четкая,Карие,20,25,6
259,М,Брюнет,Четкая,Карие,12,20,5
260,М,Брюнет,Четкая,Голубые,16,15,6
261,М,Брюнет,Четкая,Карие,16,24,6
262,Ж,Брюнет,Четкая,Голубые,10,24,6
263,М,Брюнет,Четкая,Карие,19,24,5
264,Ж,Брюнет,Гладкая,Голубые,12,17,5
265,Ж,Брюнет,Четкая,Голубые,20,15,7
266,М,Брюнет,Гладкая,Карие,13,20,7
267,М,Блондин,Гладкая,Голубые,14,25,4
268,Ж,Блондин,Четкая,Карие,15,24,6
269,Ж,Брюнет,Гладкая,Карие,18,22,4
270,М,Брюнет,Гладкая,Карие,13,18,6
271,Ж,Брюнет,Четкая,Голубые,11,22,5
272,М,Блондин,Гладкая,Карие,10,23,5
273,Ж,Брюнет,Гладкая,Голубые,16,23,6
274,Ж,Брюнет,Гладкая,Карие,16,20,6
275,Ж,Брюнет,Четкая,Голубые,11,17,6
276,М,Блондин,Гладкая,Карие,16,21,4
277,М,Блондин,Четкая,Карие,15,18,5
278,Ж,Блондин,Четкая,Карие,18,17,6
279,М,Брюнет,Четкая,Голубые,11,25,4
280,Ж,Брюнет,Гладкая,Карие,12,24,5
281,Ж,Брюнет,Гладкая,Карие,12,16,5
282,М,Брюнет,Гладкая,Карие,20,22,6
283,Ж,Блондин,Четкая,Карие,12,17,5
284,М,Брюнет,Четкая,Карие,13,18,5
285,Ж,Брюнет,Гладкая,Карие,18,17,5
286,М,Брюнет,Четкая,Голубые,13,18,5
287,М,Блондин,Четкая,Карие,20,16,7
288,Ж,Брюнет,Четкая,Голубые,16,18,4
289,Ж,Брюнет,Четкая,Карие,11,17,6
290,М,Брюнет,Четкая,Карие,17,23,6
291,М,Брюнет,Четкая,Голубые,12,20,6
292,Ж,Блондин,Четкая,Карие,17,23,5
293,Ж,Блондин,Гладкая,Голубые,14,24,4
294,Ж,Блондин,Четкая,Голубые,12,21,6
295,М,Блондин,Четкая,Голубые,14,17,4
296,Ж,Брюнет,Гладкая,Карие,20,15,7
297,Ж,Брюнет,Четкая,Карие,11,16,5
298,Ж,Брюнет,Четкая,Карие,13,18,4
299,М,Блондин,Гладкая,Голубые,17,25,5
300,Ж,Брюнет,Четкая,Карие,16,17,5
301,М,Брюнет,Гладкая,Карие,19,19,4
302,М,Блондин,Четкая,Карие,16,18,7
303,М,Блондин,Гладкая,Карие,19,22,5
304,Ж,Брюнет,Гладкая,Карие,15,24,7
305,М,Брюнет,Четкая,Карие,19,20,4
306,М,Блондин,Гладкая,Карие,12,22,7
307,М,Брюнет,Гладкая,Карие,14,23,6
308,М,Блондин,Четкая,Карие,10,20,6
309,Ж,Блондин,Четкая,Карие,12,16,6
310,Ж,Брюнет,Гладкая,Голубые,17,17,5
311,Ж,Брюнет,Гладкая,Карие,13,23,6
312,Ж,Брюнет,Четкая,Карие,19,25,5
313,Ж,Брюнет,Гладкая,Голубые,11,16,6
314,М,Брюнет,Четкая,Карие,17,18,5
315,Ж,Брюнет,Гладкая,Карие,18,25,6
316,Ж,Блондин,Четкая,Карие,15,18,4
317,М,Блондин,Гладкая,Карие,16,24,6
318,М,Брюнет,Гладкая,Карие,10,20,5
319,Ж,Блондин,Четкая,Карие,19,19,5
320,Ж,Блондин,Гладкая,Карие,12,22,5
321,Ж,Брюнет,Гладкая,Карие,20,23,5
322,Ж,Брюнет,Четкая,Карие,11,18,5
323,М,Брюнет,Четкая,Карие,11,25,5
324,Ж,Блондин,Гладкая,Карие,10,24,5
325,Ж,Брюнет,Гладкая,Карие,13,25,7
326,М,Блондин,Гладкая,Голубые,18,23,7
327,Ж,Брюнет,Четкая,Карие,14,16,5
328,М,Брюнет,Четкая,Карие,14,21,5
329,М,Блондин,Четкая,Карие,14,24,5
330,М,Брюнет,Четкая,Голубые,18,15,6
331,Ж,Брюнет,Четкая,Карие,17,19,4
332,М,Брюнет,Гладкая,Голубые,17,17,5
333,М,Брюнет,Четкая,Карие,16,16,6
334,Ж,Блондин,Гладкая,Карие,10,17,6
335,М,Брюнет,Гладкая,Голубые,10,19,7
336,Ж,Брюнет,Четкая,Карие,10,18,6
337,М,Блондин,Четкая,Карие,11,18,7
338,М,Брюнет,Четкая,Карие,12,22,5
339,М,Брюнет,Гладкая,Карие,13,17,7
340,М,Блондин,Гладкая,Карие,18,17,6
341,М,Блондин,Гладкая,Карие,10,22,7
342,М,Брюнет,Четкая,Карие,10,19,7
343,Ж,Брюнет,Четкая,Карие,19,19,6
344,М,Брюнет,Четкая,Карие,17,15,6
345,Ж,Брюнет,Гладкая,Голубые,13,21,5
346,Ж,Блондин,Гладкая,Карие,15,21,7
347,Ж,Брюнет,Четкая,Голубые,13,19,5
348,Ж,Блондин,Четкая,Голубые,13,18,5
349,Ж,Брюнет,Четкая,Голубые,17,19,5
350,М,Брюнет,Гладкая,Голубые,17,21,6
351,Ж,Брюнет,Четкая,Голубые,18,25,6
352,Ж,Брюнет,Гладкая,Карие,17,15,6
353,Ж,Брюнет,Гладкая,Карие,13,20,7
354,Ж,Брюнет,Гладкая,Голубые,20,15,6
355,Ж,Блондин,Гладкая,Карие,13,21,7
356,Ж,Блондин,Четкая,Голубые,17,15,7
357,Ж,Брюнет,Гладкая,Карие,19,23,4
358,М,Брюнет,Четкая,Голубые,14,20,7
359,Ж,Брюнет,Гладкая,Карие,16,24,5
360,М,Блондин,Гладкая,Карие,18,17,6
361,Ж,Брюнет,Четкая,Карие,17,25,4
362,Ж,Брюнет,Гладкая,Голубые,16,21,6
363,М,Брюнет,Четкая,Голубые,18,20,5
364,М,Брюнет,Четкая,Карие,20,21,7
365,Ж,Блондин,Четкая,Карие,17,24,4
366,Ж,Брюнет,Гладкая,Голубые,17,20,6
367,Ж,Брюнет,Четкая,Карие,19,24,6
368,Ж,Брюнет,Четкая,Карие,20,20,4
369,М,Блондин,Четкая,Карие,18,25,7
370,Ж,Брюнет,Четкая,Карие,11,23,7
371,Ж,Блондин,Четкая,Карие,20,20,6
372,Ж,Брюнет,Четкая,Карие,20,17,7
373,М,Брюнет,Гладкая,Карие,10,17,5
374,Ж,Брюнет,Четкая,Карие,16,23,7
375,М,Блондин,Гладкая,Голубые,10,20,5
376,Ж,Блондин,Четкая,Карие,12,18,4
377,М,Блондин,Четкая,Карие,14,20,5
378,М,Блондин,Гладкая,Голубые,18,18,5
379,М,Брюнет,Четкая,Карие,18,17,7
380,Ж,Блондин,Четкая,Карие,18,25,6
381,М,Брюнет,Четкая,Голубые,14,18,6
382,М,Брюнет,Четкая,Карие,15,24,6
383,М,Блондин,Четкая,Голубые,20,16,5
384,Ж,Блондин,Четкая,Карие,13,23,6
385,М,Брюнет,Четкая,Карие,20,25,4
386,Ж,Брюнет,Гладкая,Голубые,10,18,4
387,Ж,Брюнет,Четкая,Голубые,15,21,5
388,М,Блондин,Четкая,Карие,20,23,4
389,М,Брюнет,Гладкая,Карие,15,16,6
390,М,Блондин,Гладкая,Голубые,19,19,6
391,М,Брюнет,Четкая,Голубые,16,19,7
392,М,Блондин,Гладкая,Карие,17,17,5
393,М,Брюнет,Гладкая,Карие,10,25,6
394,М,Блондин,Четкая,Карие,14,23,5
395,Ж,Брюнет,Четкая,Карие,14,19,7
396,М,Блондин,Гладкая,Голубые,16,23,4
397,Ж,Брюнет,Четкая,Голубые,10,20,5
398,М,Блондин,Четкая,Карие,11,20,7
399,Ж,Блондин,Четкая,Карие,11,22,6
400,Ж,Брюнет,Четкая,Карие,20,20,5
401,Ж,Блондин,Гладкая,Карие,20,17,5
402,Ж,Брюнет,Четкая,Голубые,10,17,5
403,Ж,Брюнет,Гладкая,Карие,17,21,4
404,Ж,Брюнет,Гладкая,Голубые,10,15,5
405,М,Брюнет,Четкая,Карие,16,24,5
406,Ж,Брюнет,Четкая,Голубые,14,25,5
407,Ж,Блондин,Гладкая,Карие,12,20,5
408,Ж,Брюнет,Гладкая,Карие,11,16,7
409,М,Блондин,Четкая,Голубые,10,23,6
410,М,Брюнет,Гладкая,Карие,10,19,6
411,М,Брюнет,Четкая,Карие,13,24,5
412,Ж,Брюнет,Четкая,Карие,16,21,5
413,М,Блондин,Четкая,Карие,15,24,5
414,Ж,Брюнет,Гладкая,Карие,12,23,7
415,Ж,Блондин,Четкая,Голубые,15,17,4
416,Ж,Блондин,Четкая,Голубые,20,15,6
417,М,Брюнет,Гладкая,Карие,20,17,6
418,М,Брюнет,Гладкая,Карие,14,18,4
419,Ж,Брюнет,Четкая,Голубые,16,19,5
420,М,Брюнет,Четкая,Карие,15,20,4
421,Ж,Брюнет,Четкая,Карие,13,19,5
422,М,Брюнет,Четкая,Голубые,14,18,5
423,Ж,Брюнет,Гладкая,Карие,17,22,7
424,Ж,Брюнет,Гладкая,Карие,20,23,6
425,М,Брюнет,Четкая,Карие,18,16,5
426,Ж,Брюнет,Четкая,Карие,18,18,6
427,М,Блондин,Гладкая,Карие,13,15,4
428,М,Брюнет,Четкая,Голубые,15,17,6
429,Ж,Блондин,Четкая,Карие,10,22,4
430,Ж,Брюнет,Четкая,Карие,10,17,6
431,Ж,Блондин,Четкая,Голубые,17,21,6
432,М,Блондин,Четкая,Карие,10,22,5
433,М,Брюнет,Четкая,Карие,15,22,5
434,М,Брюнет,Гладкая,Карие,12,17,7
435,М,Блондин,Четкая,Голубые,10,17,6
436,М,Брюнет,Гладкая,Карие,17,15,7
437,Ж,Блондин,Гладкая,Карие,13,22,4
438,Ж,Брюнет,Четкая,Карие,16,23,5
439,М,Блондин,Четкая,Голубые,13,23,5
440,Ж,Блондин,Четкая,Карие,15,20,7
441,М,Блондин,Четкая,Карие,12,19,4
442,М,Брюнет,Гладкая,Карие,10,18,7
443,М,Брюнет,Гладкая,Карие,11,15,5
444,Ж,Брюнет,Гладкая,Карие,14,20,4
445,Ж,Блондин,Четкая,Карие,19,17,6
446,М,Брюнет,Гладкая,Карие,15,17,6
447,Ж,Блондин,Гладкая,Карие,11,18,5
448,Ж,Брюнет,Гладкая,Карие,17,23,5
449,Ж,Брюнет,Четкая,Голубые,16,18,4
450,Ж,Блондин,Четкая,Голубые,15,16,5
451,Ж,Блондин,Четкая,Карие,19,17,7
452,Ж,Блондин,Гладкая,Карие,10,20,7
453,М,Брюнет,Четкая,Карие,17,16,6
454,Ж,Брюнет,Гладкая,Карие,15,25,5
455,Ж,Блондин,Гладкая,Голубые,11,21,5
456,М,Брюнет,Гладкая,Голубые,17,25,5
457,Ж,Брюнет,Четкая,Карие,15,24,6
458,М,Блондин,Четкая,Голубые,17,23,5
459,М,Брюнет,Гладкая,Карие,16,20,6
460,М,Блондин,Гладкая,Карие,13,15,5
461,Ж,Блондин,Четкая,Карие,12,17,7
462,М,Брюнет,Гладкая,Голубые,13,25,6
463,Ж,Брюнет,Четкая,Карие,18,15,7
464,Ж,Брюнет,Четкая,Карие,12,24,6
465,М,Блондин,Четкая,Голубые,14,25,5
466,Ж,Брюнет,Четкая,Карие,12,25,6
467,Ж,Брюнет,Гладкая,Карие,19,25,5
468,Ж,Блондин,Гладкая,Карие,19,19,4
469,Ж,Блондин,Гладкая,Карие,10,20,5
470,Ж,Брюнет,Четкая,Карие,19,22,5
471,М,Брюнет,Гладкая,Карие,11,21,5
472,Ж,Блондин,Гладкая,Голубые,15,19,7
473,М,Блондин,Четкая,Карие,13,16,6
474,М,Брюнет,Четкая,Карие,19,22,6
475,Ж,Брюнет,Четкая,Карие,11,24,4
476,Ж,Брюнет,Четкая,Карие,14,15,5
477,Ж,Блондин,Четкая,Карие,16,21,5
478,М,Брюнет,Четкая,Карие,17,20,5
479,Ж,Брюнет,Четкая,Карие,16,18,7
480,Ж,Брюнет,Четкая,Карие,18,16,4
481,Ж,Блондин,Четкая,Голубые,15,19,5
482,Ж,Брюнет,Гладкая,Карие,20,24,6
483,М,Брюнет,Четкая,Карие,18,16,4
484,Ж,Брюнет,Гладкая,Карие,17,15,4
485,Ж,Брюнет,Четкая,Карие,19,22,6
486,Ж,Брюнет,Четкая,Карие,17,21,6
487,Ж,Блондин,Четкая,Голубые,17,22,7
488,М,Блондин,Четкая,Голубые,13,21,4
489,М,Брюнет,Гладкая,Карие,13,19,5
490,М,Блондин,Четкая,Голубые,13,22,6
491,Ж,Блондин,Гладкая,Карие,15,19,7
492,М,Блондин,Четкая,Карие,14,21,5
493,М,Блондин,Четкая,Карие,14,22,7
494,Ж,Блондин,Четкая,Карие,13,21,7
495,М,Брюнет,Четкая,Голубые,18,20,5
496,М,Брюнет,Гладкая,Карие,11,15,6
497,Ж,Брюнет,Четкая,Карие,18,19,6
498,Ж,Брюнет,Гладкая,Голубые,17,17,7
499,Ж,Брюнет,Гладкая,Карие,12,19,4
